Unnamed: 0,date,sol,humi,temp,prec,sun,snow,temp_s,prec_s,sun_s,snow_s,Broc
115,2022/4/26,0.0,86,19.625,2.5,0.0125,0.0,1.3016816046944812,1.984313483298443,0.0330718913883073,0.0,1300
116,2022/4/27,0.0,80,22.3,1.1875,2.7875,0.0,0.6480740698407867,0.9333240326917548,0.3689088640843426,0.0,1300
117,2022/4/28,0.0,54,16.012500000000003,0.0,4.0375,0.0,0.518260311040697,0.0,2.341974327357155,0.0,1300
118,2022/4/29,0.0,88,12.3625,29.0625,0.3375,0.0,0.2825663638864329,1.7036266463048764,0.3533323506275642,0.0,1300
119,2022/4/30,0.0,61,12.8,0.0,12.525,0.0,0.6000000000000002,0.0,0.3418698582794336,0.0,1300
120,2022/5/1,0.0,79,11.425000000000002,7.625,0.125,0.0,0.4575751304430782,3.7728470681966426,0.2384848003542364,0.0,1300
121,2022/5/2,0.0,69,12.925,2.875,7.225,0.0,0.6759252917297887,4.546633369868303,3.654363829724676,0.0,1300
122,2022/5/3,0.0,61,13.9,0.0,12.7875,0.0,0.8093207028119322,0.0,0.3139964171770117,0.0,1300
123,2022/5/4,0.0,59,16.75,0.0,12.7375,0.0,0.7516648189186449,0.0,0.0695970545353758,0.0,1300
124,2022/5/5,0.0,62,19.3875,0.0,12.2125,0.0,0.5644410952437814,0.0,0.2847696437473626,0.0,1300
125,2022/5/6,0.0,71,18.575,0.0,8.137500000000001,0.0,0.8150920193450546,0.0,0.6243746871871086,0.0,1300
126,2022/5/7,0.0,82,18.4125,0.9375,5.225,0.0,0.5182603110406974,1.3331705629813464,2.0259257143340674,0.0,1300
127,2022/5/8,0.0,52,17.587500000000002,1.0,3.8375,0.0,0.577575752607396,1.118033988749895,0.7631145064798597,0.0,1300
128,2022/5/9,0.0,84,12.7375,5.75,0.0,0.0,0.6101997623729462,0.3535533905932738,0.0,0.0,1300
129,2022/5/10,0.0,63,15.3375,0.125,11.1625,0.0,0.6688376110835876,0.2165063509461096,0.7663835527984666,0.0,1300
130,2022/5/11,0.0,62,17.075,0.0,7.9875,0.0,0.8828221791504787,0.0,0.7991206104212307,0.0,1300
131,2022/5/12,0.0,82,18.75,0.5,2.725,0.0,0.8200609733428356,0.4330127018922193,1.7844817174742924,0.0,1300
132,2022/5/13,0.0,100,18.2,20.125,0.0,0.0,0.5291502622129177,6.808771915698161,0.0,0.0,1300
133,2022/5/14,0.0,78,21.0875,7.25,1.95,0.0,0.6253748875674496,1.25,1.455163221085525,0.0,1300
134,2022/5/15,0.0,60,17.587500000000002,0.1875,0.9375,0.0,0.6273705045664796,0.3479852726768763,0.8543089312420888,0.0,1300
135,2022/5/16,0.0,94,14.062499999999998,3.375,0.0,0.0,0.3388860427931492,2.042516829796024,0.0,0.0,1300
136,2022/5/17,0.0,89,15.15,0.0,0.0,0.0,0.4949747468305834,0.0,0.0,0.0,1300
137,2022/5/18,0.0,68,18.05,0.0,11.4375,0.0,0.6538348415311006,0.0,1.1335094838597513,0.0,1300
138,2022/5/19,0.0,59,19.7125,0.0,9.95,0.0,0.7671986379028571,0.0,1.2519984025548916,0.0,1300
139,2022/5/20,0.0,67,20.225,0.0625,6.687500000000001,0.0,0.9430668056930006,0.1653594569415369,0.9778004653302226,0.0,1300
140,2022/5/21,0.0,88,17.45,10.5625,0.0,0.0,0.9759610647971564,11.783032027029376,0.0,0.0,1300
141,2022/5/22,0.0,77,19.0625,2.25,7.574999999999999,0.0,0.4871793817476272,2.331844763272204,0.5739120141624497,0.0,1300
142,2022/5/23,0.0,72,18.825,3.5,8.525,0.0,0.2817356917396163,3.391164991562634,0.9717895862788404,0.0,1300
143,2022/5/24,0.0,68,20.7,0.0,10.95,0.0,0.6062177826491069,0.0,0.6928203230275508,0.0,1300
144,2022/5/25,0.0,69,21.275,0.0,7.500000000000001,0.0,0.7428828979051812,0.0,0.7632168761236876,0.0,1300
145,2022/5/26,0.0,69,21.2625,0.0,4.5375,0.0,0.9272776013686518,0.0,1.1290897882808082,0.0,1300
146,2022/5/27,0.0,88,20.9,39.75,3.3375000000000004,0.0,0.5499999999999996,14.484905936870977,1.0197272919756537,0.0,1300
147,2022/5/28,0.0,61,21.6,0.0,11.65,0.0,0.7106335201775957,0.0,2.149418526020468,0.0,1300
148,2022/5/29,0.0,54,23.625,0.0,13.45,0.0,0.8212033852828422,0.0,0.0999999999999996,0.0,1300
149,2022/5/30,0.0,68,21.15,0.0625,10.4875,0.0,0.4123105625617657,0.1653594569415369,0.3689088640843424,0.0,1300
150,2022/5/31,0.0,88,17.9,10.75,0.25,0.0,0.6928203230275507,3.391164991562634,0.2397915761656359,0.0,1300
151,2022/6/1,0.0,53,21.05,0.0,8.35,0.0,0.7566372975210781,0.0,0.2915475947422649,0.0,1300
152,2022/6/2,0.0,70,21.1625,3.6875,12.8125,0.0,0.733037345569788,5.926305235979665,0.6233728819895841,0.0,1300
153,2022/6/3,0.0,81,19.875,9.1875,5.6625,0.0,0.5356071321407135,3.9523529384405935,0.9419892515310352,0.0,1300
154,2022/6/4,0.0,66,20.325,0.0,12.55,0.0,0.4710360920354196,0.0,0.7365459931328117,0.0,1300
155,2022/6/5,0.0,76,20.2125,3.1875,5.1375,0.0,0.2847696437473631,4.663270713780189,1.0534912197071222,0.0,1300
156,2022/6/6,0.0,97,15.05,53.25,0.0,0.0,0.5477225575051661,23.381349405027933,0.0,0.0,1300
157,2022/6/7,0.0,88,16.5625,7.8125,0.5125,0.0,0.5566361019553079,2.904065038872236,0.4313858481684349,0.0,1300
158,2022/6/8,0.0,83,16.4375,4.0,0.0125,0.0,0.5429951657243367,2.9154759474226504,0.0330718913883073,0.0,1300
159,2022/6/9,0.0,83,18.5625,3.0,2.5,0.0,0.6060888961200328,2.5860201081971503,1.7705931209625771,0.0,1300
160,2022/6/10,0.0,81,19.8875,7.25,1.0875,0.0,0.8343223297982622,7.119515432949071,0.7183966522750507,0.0,1300
